Device/Package xc7a100tfgg676 6/6/2012 10:07:15                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
B22   IO_L17P_T2_16                 2                  16    NA            NA                  HR        NA
A22   IO_L17N_T2_16                 2                  16    NA            NA                  HR        NA
E21   IO_L18P_T2_16                 2                  16    NA            NA                  HR        NA
D21   IO_L18N_T2_16                 2                  16    NA            NA                  HR        NA
C22   IO_L19P_T3_16                 3                  16    NA            NA                  HR        NA
C23   IO_L19N_T3_VREF_16            3                  16    NA            NA                  HR        NA
B25   IO_L20P_T3_16                 3                  16    NA            NA                  HR        NA
A25   IO_L20N_T3_16                 3                  16    NA            NA                  HR        NA
A23   IO_L21P_T3_DQS_16             3                  16    NA            NA                  HR        NA
A24   IO_L21N_T3_DQS_16             3                  16    NA            NA                  HR        NA
C26   IO_L22P_T3_16                 3                  16    NA            NA                  HR        NA
B26   IO_L22N_T3_16                 3                  16    NA            NA                  HR        NA
C24   IO_L23P_T3_16                 3                  16    NA            NA                  HR        NA
B24   IO_L23N_T3_16                 3                  16    NA            NA                  HR        NA
D23   IO_L24P_T3_16                 3                  16    NA            NA                  HR        NA
D24   IO_L24N_T3_16                 3                  16    NA            NA                  HR        NA
E22   IO_25_16                      NA                 16    NA            NA                  HR        NA
N8    IO_0_34                       NA                 34    NA            NA                  HR        NA
K3    IO_L1P_T0_34                  0                  34    NA            NA                  HR        NA
J3    IO_L1N_T0_34                  0                  34    NA            NA                  HR        NA
M7    IO_L2P_T0_34                  0                  34    NA            NA                  HR        NA
L7    IO_L2N_T0_34                  0                  34    NA            NA                  HR        NA
M4    IO_L3P_T0_DQS_34              0                  34    NA            NA                  HR        NA
L4    IO_L3N_T0_DQS_34              0                  34    NA            NA                  HR        NA
L5    IO_L4P_T0_34                  0                  34    NA            NA                  HR        NA
K5    IO_L4N_T0_34                  0                  34    NA            NA                  HR        NA
N7    IO_L5P_T0_34                  0                  34    NA            NA                  HR        NA
N6    IO_L5N_T0_34                  0                  34    NA            NA                  HR        NA
M6    IO_L6P_T0_34                  0                  34    NA            NA                  HR        NA
M5    IO_L6N_T0_VREF_34             0                  34    NA            NA                  HR        NA
K1    IO_L7P_T1_34                  1                  34    NA            NA                  HR        NA
J1    IO_L7N_T1_34                  1                  34    NA            NA                  HR        NA
L3    IO_L8P_T1_34                  1                  34    NA            NA                  HR        NA
K2    IO_L8N_T1_34                  1                  34    NA            NA                  HR        NA
N1    IO_L9P_T1_DQS_34              1                  34    NA            NA                  HR        NA
M1    IO_L9N_T1_DQS_34              1                  34    NA            NA                  HR        NA
H2    IO_L10P_T1_34                 1                  34    NA            NA                  HR        NA
H1    IO_L10N_T1_34                 1                  34    NA            NA                  HR        NA
M2    IO_L11P_T1_SRCC_34            1                  34    NA            NA                  HR        NA
L2    IO_L11N_T1_SRCC_34            1                  34    NA            NA                  HR        NA
N3    IO_L12P_T1_MRCC_34            1                  34    NA            NA                  HR        NA
N2    IO_L12N_T1_MRCC_34            1                  34    NA            NA                  HR        NA
R3    IO_L13P_T2_MRCC_34            2                  34    NA            NA                  HR        NA
P3    IO_L13N_T2_MRCC_34            2                  34    NA            NA                  HR        NA
P4    IO_L14P_T2_SRCC_34            2                  34    NA            NA                  HR        NA
N4    IO_L14N_T2_SRCC_34            2                  34    NA            NA                  HR        NA
R1    IO_L15P_T2_DQS_34             2                  34    NA            NA                  HR        NA
P1    IO_L15N_T2_DQS_34             2                  34    NA            NA                  HR        NA
T4    IO_L16P_T2_34                 2                  34    NA            NA                  HR        NA
T3    IO_L16N_T2_34                 2                  34    NA            NA                  HR        NA
T2    IO_L17P_T2_34                 2                  34    NA            NA                  HR        NA
R2    IO_L17N_T2_34                 2                  34    NA            NA                  HR        NA
U2    IO_L18P_T2_34                 2                  34    NA            NA                  HR        NA
U1    IO_L18N_T2_34                 2                  34    NA            NA                  HR        NA
P6    IO_L19P_T3_34                 3                  34    NA            NA                  HR        NA
P5    IO_L19N_T3_VREF_34            3                  34    NA            NA                  HR        NA
T5    IO_L20P_T3_34                 3                  34    NA            NA                  HR        NA
R5    IO_L20N_T3_34                 3                  34    NA            NA                  HR        NA
U6    IO_L21P_T3_DQS_34             3                  34    NA            NA                  HR        NA
U5    IO_L21N_T3_DQS_34             3                  34    NA            NA                  HR        NA
R8    IO_L22P_T3_34                 3                  34    NA            NA                  HR        NA
P8    IO_L22N_T3_34                 3                  34    NA            NA                  HR        NA
R7    IO_L23P_T3_34                 3                  34    NA            NA                  HR        NA
R6    IO_L23N_T3_34                 3                  34    NA            NA                  HR        NA
T8    IO_L24P_T3_34                 3                  34    NA            NA                  HR        NA
T7    IO_L24N_T3_34                 3                  34    NA            NA                  HR        NA
U4    IO_25_34                      NA                 34    NA            NA                  HR        NA
J8    IO_0_35                       NA                 35    NA            NA                  HR        NA
E6    IO_L1P_T0_AD4P_35             0                  35    NA            NA                  HR        NA
D6    IO_L1N_T0_AD4N_35             0                  35    NA            NA                  HR        NA
H8    IO_L2P_T0_AD12P_35            0                  35    NA            NA                  HR        NA
G8    IO_L2N_T0_AD12N_35            0                  35    NA            NA                  HR        NA
H7    IO_L3P_T0_DQS_AD5P_35         0                  35    NA            NA                  HR        NA
G7    IO_L3N_T0_DQS_AD5N_35         0                  35    NA            NA                  HR        NA
F8    IO_L4P_T0_35                  0                  35    NA            NA                  HR        NA
F7    IO_L4N_T0_35                  0                  35    NA            NA                  HR        NA
H6    IO_L5P_T0_AD13P_35            0                  35    NA            NA                  HR        NA
G6    IO_L5N_T0_AD13N_35            0                  35    NA            NA                  HR        NA
H9    IO_L6P_T0_35                  0                  35    NA            NA                  HR        NA
